text,intent
Dis-moi combien vaut Apple en bourse,price
Donne-moi les stats de AAPL sur 1 an,stats
Donne-moi les stats de Microsoft sur 1y,stats
Statistiques de Tesla sur 6 mois,stats
Donne-moi la volatilité de Apple sur 1 an,stats
Quel est le rendement de Nvidia sur 1y,stats
Stats de MSFT sur 6mo,stats
Performance de AAPL sur 1 an,stats
Sharpe ratio de Tesla sur 1y,stats
Volatilité de Microsoft sur 6 mois,stats
Stats de Amazon sur 1 an,stats
Donne-moi les statistiques de Nvidia sur 1 an,stats
Performance de Microsoft sur 1 an,stats
Rendement annualisé de Tesla sur 6 mois,stats
Volatilité de Amazon sur 1y,stats
Stats de Meta sur 1y,stats
Sharpe de AAPL sur 1 an,stats
Donne-moi la performance de LVMH sur 1 an,stats
Volatilité de Air Liquide sur 6 mois,stats
Rendement de BNP Paribas sur 1 an,stats
Stats de NVDA sur 6mo,stats
Donne-moi les stats de Google sur 1 an,stats
Statistiques de Amazon sur 1 an,stats
Performance de Nvidia sur 1y,stats
Volatilité de Tesla sur 1 an,stats
Rendement de Meta sur 6 mois,stats
Stats de GOOGL sur 1y,stats
Sharpe ratio de Amazon sur 1 an,stats
Performance de Microsoft sur 6mo,stats
Volatilité de Apple sur 1y,stats
Stats de Tesla sur 1 an,stats
Donne-moi la performance de Hermès sur 1 an,stats
Statistiques de TotalEnergies sur 6 mois,stats
Volatilité de Société Générale sur 1 an,stats
Rendement de SAP sur 1y,stats
Stats de ASML sur 6mo,stats
Sharpe de Google sur 1 an,stats
Quel est le rendement annualisé de Amazon sur 1y,stats
Volatilité de Nvidia sur 6 mois,stats
Performance de Meta sur 1 an,stats
Stats de TotalEnergies sur 1 an,stats
Je veux les stats de Apple sur 1 an,stats
Donne-moi les statistiques de Microsoft sur un an,stats
J’aimerais la volatilité de Tesla sur 1 an,stats
Peux-tu me sortir les stats de Nvidia sur 6 mois ?,stats
Je veux voir la performance de Amazon sur 1 an,stats
Montre-moi les stats de Meta stp,stats
Tu peux me donner le rendement de Google sur 1 an ?,stats
Je veux la volatilité de Apple sur 6 mois,stats
Donne-moi les performances de Tesla sur un an,stats
J’aimerais les stats de MSFT sur 1y,stats
Peux-tu me dire le Sharpe ratio de Nvidia ?,stats
Je veux les statistiques de Amazon sur 1y,stats
Montre-moi la perf de Meta sur 1 an,stats
Tu peux me sortir les stats de GOOGL sur 6 mois ?,stats
Donne-moi le rendement annualisé de Tesla,stats
Je veux la volatilité de Microsoft stp,stats
J’aimerais les stats de Apple sur 1y,stats
Peux-tu me montrer la performance de Nvidia sur 1 an ?,stats
Je veux les indicateurs de Amazon sur 6 mois,stats
Dis-moi les stats de Tesla sur 1 an,stats
Compare AAPL et Microsoft sur 1y,compare
Compare Tesla et Nvidia sur 1 an,compare
Comparaison Apple vs Microsoft,compare
Compare Amazon et Google sur 6 mois,compare
AAPL vs MSFT sur 1y,compare
Tesla versus Nvidia sur 1 an,compare
Comparaison Microsoft et Nvidia sur 1y,compare
Compare Apple et Tesla,compare
Compare Google et Amazon,compare
Compare Nvidia et AMD sur 1 an,compare
Compare Microsoft et Apple sur 6 mois,compare
Comparaison Tesla et Amazon sur 1 an,compare
NVDA vs AMD sur 1 an,compare
Compare LVMH et Hermès,compare
Comparaison Air Liquide et TotalEnergies,compare
Compare BNP Paribas et Société Générale,compare
Apple versus Microsoft,compare
Google vs Meta,compare
Compare Amazon et Meta sur 1y,compare
Compare Tesla et Microsoft,compare
Compare Google et Amazon sur 1 an,compare
Compare Nvidia et Tesla sur 1 an,compare
Comparaison Meta vs Microsoft,compare
Amazon vs Google sur 6 mois,compare
GOOGL vs AMZN sur 1y,compare
Nvidia versus Tesla sur 1 an,compare
Compare Apple et Microsoft sur 1 an,compare
Compare Meta et Google,compare
Comparaison Amazon et Nvidia sur 1y,compare
Tesla vs Meta sur 6 mois,compare
Compare Hermès et LVMH,compare
Comparaison SAP et ASML,compare
Compare TotalEnergies et Air Liquide,compare
BNP Paribas vs Société Générale,compare
Compare Google et Meta sur 1 an,compare
Compare Amazon et Apple,compare
Comparaison Tesla et Nvidia sur 6 mois,compare
Meta versus Microsoft sur 1y,compare
Compare ASML et SAP sur 1 an,compare
Google vs Amazon,compare
Apple et Microsoft lequel performe le mieux,compare
Tesla ou Nvidia sur un an,compare
Entre Google et Amazon lequel est le plus rentable,compare
Performance Apple Microsoft sur 6 mois,compare
Comparaison Nvidia AMD sur un an,compare
Microsoft ou Apple sur un an,compare
Amazon ou Google qui est meilleur,compare
Tesla Nvidia lequel est le plus performant,compare
Compare Apple et Microsoft pour moi,compare
Je veux comparer Tesla et Nvidia,compare
Tu peux me faire une comparaison entre Amazon et Google ?,compare
Montre-moi Apple vs Microsoft,compare
J’aimerais comparer Tesla à Nvidia sur 1 an,compare
Peux-tu comparer Meta et Google ?,compare
Je veux voir Microsoft contre Apple,compare
Fais-moi une comparaison entre Amazon et Meta,compare
Tu peux me dire entre Tesla et Microsoft lequel est meilleur ?,compare
Je veux comparer Nvidia et AMD sur 1 an,compare
Montre-moi Google vs Amazon sur 6 mois,compare
J’aimerais une comparaison Apple / Tesla,compare
Peux-tu comparer LVMH et Hermès ?,compare
Je veux savoir entre Apple et Microsoft lequel performe le mieux,compare
Dis-moi qui est meilleur entre Tesla et Nvidia sur un an,compare
Tu peux me faire Meta vs Microsoft ?,compare
Je veux comparer Air Liquide et TotalEnergies,compare
Montre-moi BNP Paribas contre Société Générale,compare
J’aimerais comparer ASML et SAP,compare
"Entre Amazon et Google, lequel est le plus performant ?",compare
Je veux un portefeuille d'action Europe dans le secteur Santé avec une volatilité faible,screener
Construis-moi un portefeuille d’actions Europe sans France dans le secteur santé,screener
Je veux un portefeuille actions France et Allemagne,screener
Fais un screener d’actions hors secteur énergie et pétrole,screener
Je cherche des actions US dans la technologie et l’automobile,screener
Screener actions Europe dans la santé,screener
Trouve des actions avec dividende élevé en Europe,screener
Portefeuille actions défensives Europe,screener
Filtre actions US secteur technologie,screener
Actions Europe avec faible volatilité,screener
Je veux un portefeuille d'actions Europe hors énergie,screener
Trouve des actions santé en Europe,screener
Filtre actions européennes avec dividende élevé,screener
Je cherche des actions monde hors France,screener
Construis-moi un portefeuille d’actions Europe dans la technologie,screener
Actions US avec faible bêta,screener
Screener de valeurs bancaires européennes,screener
Je veux des actions de santé hors USA,screener
Trouve des actions industrielles en Europe,screener
Je veux un portefeuille d’actions défensives avec rendement,screener
Je veux un portefeuille d'actions Europe dans le luxe,screener
Trouve des actions Europe dans l'industrie,screener
Je cherche des actions américaines avec dividende élevé,screener
Fais un screener d'actions Europe hors finance,screener
Je veux des actions mondiales dans la santé,screener
Construis-moi un portefeuille d'actions USA sans technologie,screener
Trouve des actions européennes à faible volatilité,screener
Je veux un screener d'actions avec rendement élevé,screener
Filtre des actions de croissance en Europe,screener
Je cherche des actions qualité avec beta faible,screener
Portefeuille actions monde avec dividendes,screener
Actions Europe hors pétrole et gaz,screener
Trouve des actions défensives aux Etats-Unis,screener
Je veux des actions bancaires en Europe,screener
Screener d'actions industrielles hors France,screener
Portefeuille actions santé avec rendement,screener
Je cherche des actions Europe et USA dans la technologie,screener
Trouve des actions avec faible beta et dividendes,screener
Je veux un portefeuille d'actions internationales défensives,screener
Filtre actions Europe secteur consommation,screener
Je cherche des actions santé en Europe avec dividendes,screener
Je veux des actions américaines à faible volatilité,screener
Trouve des actions européennes dans la technologie,screener
Filtre des actions monde avec rendement élevé,screener
Je veux des actions européennes avec bêta inférieur à 1,screener
Actions américaines dans l'industrie,screener
Je veux des actions monde dans la santé,screener
Filtre actions Europe hors énergie,screener
Je veux des actions européennes dans la santé,screener
Donne-moi un portefeuille d’actions Europe secteur santé,screener
Je cherche des actions US dans la tech,screener
Montre-moi des actions Europe avec faible volatilité,screener
J’aimerais un screener d’actions avec dividendes élevés,screener
Peux-tu me trouver des actions santé en Europe ?,screener
Tu peux me sortir des actions américaines défensives ?,screener
Je cherche des actions monde avec rendement élevé,screener
Montre-moi des actions européennes dans le luxe,screener
Je veux un screener d’actions industrielles en Europe,screener
Donne-moi des actions bancaires européennes,screener
Je veux des actions de croissance en Europe,screener
Peux-tu filtrer des actions US hors technologie ?,screener
Je cherche des actions santé avec dividendes,screener
Montre-moi des actions à faible bêta,screener
J’aimerais des actions monde dans la santé,screener
Tu peux me trouver des actions Europe hors finance ?,screener
Je veux des actions internationales peu volatiles,screener
C'est quoi un ETF,chat
Explique moi ce qu'est un ETF,chat
Différence entre volatilité et risque,chat
Explique moi la volatilité en finance,chat
Qu'est-ce qu'un dividende,chat
C'est quoi un Sharpe ratio,chat
Explique moi la diversification,chat
Qu'est-ce qu'un portefeuille défensif,chat
Explain what an ETF is,chat
What is volatility in finance,chat
Explique-moi la différence entre action et obligation,chat
Comment fonctionne un dividende,chat
Qu'est-ce qu'une action de croissance,chat
C'est quoi le rendement annualisé,chat
Explique-moi ce qu'est la capitalisation boursière,chat
What is a dividend,chat
Explain the Sharpe ratio,chat
Pourquoi diversifier un portefeuille,chat
Qu'est-ce qu'un ETF capitalisant,chat
Différence entre performance et rendement,chat
C'est quoi une action,chat
Qu'est-ce qu'une obligation,chat
Explique-moi la différence entre ETF et action,chat
C'est quoi le bêta en bourse,chat
Qu'est-ce que le PER,chat
Explique-moi ce qu'est un rendement,chat
Comment comprendre le risque d'une action,chat
C'est quoi la diversification sectorielle,chat
Qu'est-ce qu'un ETF distribuant,chat
Explique-moi la volatilité annualisée,chat
What is a stock,chat
What is a bond,chat
Explain diversification in investing,chat
What is annualized return,chat
What is beta in finance,chat
Pourquoi une action monte ou baisse,chat
Comment lire une performance sur un an,chat
Qu'est-ce qu'un portefeuille équilibré,chat
Explique-moi le concept de drawdown,chat
Quelle est la différence entre croissance et value,chat
Apple ou Microsoft c'est mieux,chat
Dois-je acheter Tesla,chat
Est-ce que Nvidia est risqué,chat
Tu préfères Apple ou Microsoft,chat
Est-ce un bon moment pour acheter Amazon,chat
Faut-il investir dans Tesla maintenant,chat
Penses-tu que Nvidia va monter,chat
Apple est-ce une bonne action,chat
Microsoft est-ce un bon investissement,chat
Amazon est-elle une bonne entreprise,chat
C’est quoi un ETF exactement ?,chat
Explique-moi ce qu’est la volatilité,chat
Je veux comprendre ce qu’est un dividende,chat
Peux-tu m’expliquer le Sharpe ratio ?,chat
J’aimerais comprendre la diversification,chat
Dis-moi simplement ce qu’est une action,chat
Je veux comprendre le bêta en bourse,chat
Tu peux m’expliquer ce qu’est le PER ?,chat
J’aimerais savoir ce qu’est un rendement annualisé,chat
Peux-tu m’expliquer la capitalisation boursière ?,chat
Je veux comprendre la différence entre ETF et action,chat
Explique-moi ce qu’est un portefeuille défensif,chat
Dis-moi ce que veut dire drawdown,chat
Je veux une explication simple du risque en bourse,chat
Peux-tu m’expliquer ce qu’est un ETF distribuant ?,chat
J’aimerais comprendre un ETF capitalisant,chat
Explique-moi la différence entre croissance et value,chat
Je veux comprendre comment lire une performance sur un an,chat
Tu peux m’expliquer pourquoi une action monte ou baisse ?,chat
Je veux ton avis sur Apple,chat
Tu penses quoi de Microsoft ?,chat
Est-ce que Tesla c’est une bonne action selon toi ?,chat
J’aimerais savoir si Nvidia est risquée,chat
Tu me conseilles Amazon ou pas ?,chat
Je veux savoir si Apple est un bon investissement,chat
Peux-tu me dire si Microsoft vaut le coup ?,chat
J’hésite à acheter Tesla,chat
Tu crois que Nvidia peut encore monter ?,chat
Amazon c’est une bonne idée d’investissement ?,chat
Tu peux me donner le cours de AAPL ?,price
C'est quoi le prix de AAPL ?,price
AAPL vaut combien en ce moment ?,price
Je veux la valeur actuelle de AAPL,price
Tu peux me donner le cours de GOOGL ?,price
C'est quoi le prix de GOOGL ?,price
GOOGL vaut combien en ce moment ?,price
Je veux la valeur actuelle de GOOGL,price
Tu peux me donner le cours de MSFT ?,price
C'est quoi le prix de MSFT ?,price
MSFT vaut combien en ce moment ?,price
Je veux la valeur actuelle de MSFT,price
Tu peux me donner le cours de NVDA ?,price
C'est quoi le prix de NVDA ?,price
NVDA vaut combien en ce moment ?,price
Je veux la valeur actuelle de NVDA,price
Tu peux me donner le cours de TSLA ?,price
C'est quoi le prix de TSLA ?,price
TSLA vaut combien en ce moment ?,price
Je veux la valeur actuelle de TSLA,price
Tu peux me donner le cours de ASML ?,price
C'est quoi le prix de ASML ?,price
ASML vaut combien en ce moment ?,price
Je veux la valeur actuelle de ASML,price
Tu peux me donner le cours de RMS.PA ?,price
C'est quoi le prix de RMS.PA ?,price
RMS.PA vaut combien en ce moment ?,price
Je veux la valeur actuelle de RMS.PA,price
Tu peux me donner le cours de MC.PA ?,price
C'est quoi le prix de MC.PA ?,price
MC.PA vaut combien en ce moment ?,price
Je veux la valeur actuelle de MC.PA,price
Tu peux me donner le cours de AIR.PA ?,price
C'est quoi le prix de AIR.PA ?,price
AIR.PA vaut combien en ce moment ?,price
Je veux la valeur actuelle de AIR.PA,price
Tu peux me donner le cours de BNP.PA ?,price
C'est quoi le prix de BNP.PA ?,price
BNP.PA vaut combien en ce moment ?,price
Je veux la valeur actuelle de BNP.PA,price
Tu peux me donner le cours de Apple ?,price
C'est quoi le prix de Apple ?,price
Apple vaut combien en ce moment ?,price
Je veux la valeur actuelle de Apple,price
Tu peux me donner le cours de Google ?,price
C'est quoi le prix de Google ?,price
Google vaut combien en ce moment ?,price
Je veux la valeur actuelle de Google,price
Tu peux me donner le cours de Microsoft ?,price
C'est quoi le prix de Microsoft ?,price
Microsoft vaut combien en ce moment ?,price
Je veux la valeur actuelle de Microsoft,price
Tu peux me donner le cours de Nvidia ?,price
C'est quoi le prix de Nvidia ?,price
Nvidia vaut combien en ce moment ?,price
Je veux la valeur actuelle de Nvidia,price
C'est quoi le prix de Tesla ?,price
Tesla vaut combien en ce moment ?,price
Je veux la valeur actuelle de Tesla,price
Tu peux me donner le cours de Hermès ?,price
C'est quoi le prix de Hermès ?,price
Hermès vaut combien en ce moment ?,price
Je veux la valeur actuelle de Hermès,price
Tu peux me donner le cours de LVMH ?,price
C'est quoi le prix de LVMH ?,price
LVMH vaut combien en ce moment ?,price
Je veux la valeur actuelle de LVMH,price
Tu peux me donner le cours de Air Liquide ?,price
C'est quoi le prix de Air Liquide ?,price
Air Liquide vaut combien en ce moment ?,price
Je veux la valeur actuelle de Air Liquide,price
Tu peux me donner le cours de BNP Paribas ?,price
C'est quoi le prix de BNP Paribas ?,price
BNP Paribas vaut combien en ce moment ?,price
Je veux la valeur actuelle de BNP Paribas,price
Je veux les indicateurs de AAPL sur 1 mois,stats
Affiche les statistiques de AAPL sur 1 mois,stats
Je veux les indicateurs de AAPL sur 3 mois,stats
Affiche les statistiques de AAPL sur 3 mois,stats
Je veux les indicateurs de AAPL sur 6 mois,stats
Affiche les statistiques de AAPL sur 6 mois,stats
Je veux les indicateurs de AAPL sur 1 an,stats
Affiche les statistiques de AAPL sur 1 an,stats
Je veux les indicateurs de GOOGL sur 1 mois,stats
Affiche les statistiques de GOOGL sur 1 mois,stats
Je veux les indicateurs de GOOGL sur 3 mois,stats
Affiche les statistiques de GOOGL sur 3 mois,stats
Je veux les indicateurs de GOOGL sur 6 mois,stats
Affiche les statistiques de GOOGL sur 6 mois,stats
Je veux les indicateurs de GOOGL sur 1 an,stats
Affiche les statistiques de GOOGL sur 1 an,stats
Je veux les indicateurs de MSFT sur 1 mois,stats
Affiche les statistiques de MSFT sur 1 mois,stats
Je veux les indicateurs de MSFT sur 3 mois,stats
Affiche les statistiques de MSFT sur 3 mois,stats
Je veux les indicateurs de MSFT sur 6 mois,stats
Affiche les statistiques de MSFT sur 6 mois,stats
Je veux les indicateurs de MSFT sur 1 an,stats
Affiche les statistiques de MSFT sur 1 an,stats
Je veux les indicateurs de NVDA sur 1 mois,stats
Affiche les statistiques de NVDA sur 1 mois,stats
Je veux les indicateurs de NVDA sur 3 mois,stats
Affiche les statistiques de NVDA sur 3 mois,stats
Je veux les indicateurs de NVDA sur 6 mois,stats
Affiche les statistiques de NVDA sur 6 mois,stats
Je veux les indicateurs de NVDA sur 1 an,stats
Affiche les statistiques de NVDA sur 1 an,stats
Je veux les indicateurs de TSLA sur 1 mois,stats
Affiche les statistiques de TSLA sur 1 mois,stats
Je veux les indicateurs de TSLA sur 3 mois,stats
Affiche les statistiques de TSLA sur 3 mois,stats
Je veux les indicateurs de TSLA sur 6 mois,stats
Affiche les statistiques de TSLA sur 6 mois,stats
Je veux les indicateurs de TSLA sur 1 an,stats
Affiche les statistiques de TSLA sur 1 an,stats
Je veux les indicateurs de ASML sur 1 mois,stats
Affiche les statistiques de ASML sur 1 mois,stats
Je veux les indicateurs de ASML sur 3 mois,stats
Affiche les statistiques de ASML sur 3 mois,stats
Je veux les indicateurs de ASML sur 6 mois,stats
Affiche les statistiques de ASML sur 6 mois,stats
Je veux les indicateurs de ASML sur 1 an,stats
Affiche les statistiques de ASML sur 1 an,stats
Je veux les indicateurs de RMS.PA sur 1 mois,stats
Affiche les statistiques de RMS.PA sur 1 mois,stats
Je veux les indicateurs de RMS.PA sur 3 mois,stats
Affiche les statistiques de RMS.PA sur 3 mois,stats
Je veux les indicateurs de RMS.PA sur 6 mois,stats
Affiche les statistiques de RMS.PA sur 6 mois,stats
Je veux les indicateurs de RMS.PA sur 1 an,stats
Affiche les statistiques de RMS.PA sur 1 an,stats
Je veux les indicateurs de MC.PA sur 1 mois,stats
Affiche les statistiques de MC.PA sur 1 mois,stats
Je veux les indicateurs de MC.PA sur 3 mois,stats
Affiche les statistiques de MC.PA sur 3 mois,stats
Je veux les indicateurs de MC.PA sur 6 mois,stats
Affiche les statistiques de MC.PA sur 6 mois,stats
Je veux les indicateurs de MC.PA sur 1 an,stats
Affiche les statistiques de MC.PA sur 1 an,stats
Je veux les indicateurs de Apple sur 1 mois,stats
Affiche les statistiques de Apple sur 1 mois,stats
Je veux les indicateurs de Apple sur 3 mois,stats
Affiche les statistiques de Apple sur 3 mois,stats
Je veux les indicateurs de Apple sur 6 mois,stats
Affiche les statistiques de Apple sur 6 mois,stats
Je veux les indicateurs de Apple sur 1 an,stats
Affiche les statistiques de Apple sur 1 an,stats
Je veux les indicateurs de Microsoft sur 1 mois,stats
Affiche les statistiques de Microsoft sur 1 mois,stats
Je veux les indicateurs de Microsoft sur 3 mois,stats
Affiche les statistiques de Microsoft sur 3 mois,stats
Je veux les indicateurs de Microsoft sur 6 mois,stats
Affiche les statistiques de Microsoft sur 6 mois,stats
Je veux les indicateurs de Microsoft sur 1 an,stats
Affiche les statistiques de Microsoft sur 1 an,stats
Je veux les indicateurs de Nvidia sur 1 mois,stats
Affiche les statistiques de Nvidia sur 1 mois,stats
Je veux les indicateurs de Nvidia sur 3 mois,stats
Affiche les statistiques de Nvidia sur 3 mois,stats
Je veux les indicateurs de Nvidia sur 6 mois,stats
Affiche les statistiques de Nvidia sur 6 mois,stats
Je veux les indicateurs de Nvidia sur 1 an,stats
Affiche les statistiques de Nvidia sur 1 an,stats
Je veux les indicateurs de Tesla sur 1 mois,stats
Affiche les statistiques de Tesla sur 1 mois,stats
Je veux les indicateurs de Tesla sur 3 mois,stats
Affiche les statistiques de Tesla sur 3 mois,stats
Je veux les indicateurs de Tesla sur 6 mois,stats
Affiche les statistiques de Tesla sur 6 mois,stats
Je veux les indicateurs de Tesla sur 1 an,stats
Affiche les statistiques de Tesla sur 1 an,stats
Je veux les indicateurs de Hermès sur 1 mois,stats
Affiche les statistiques de Hermès sur 1 mois,stats
Je veux les indicateurs de Hermès sur 3 mois,stats
Affiche les statistiques de Hermès sur 3 mois,stats
Je veux les indicateurs de Hermès sur 6 mois,stats
Affiche les statistiques de Hermès sur 6 mois,stats
Je veux les indicateurs de Hermès sur 1 an,stats
Affiche les statistiques de Hermès sur 1 an,stats
Je veux les indicateurs de LVMH sur 1 mois,stats
Affiche les statistiques de LVMH sur 1 mois,stats
Je veux les indicateurs de LVMH sur 3 mois,stats
Affiche les statistiques de LVMH sur 3 mois,stats
Je veux les indicateurs de LVMH sur 6 mois,stats
Affiche les statistiques de LVMH sur 6 mois,stats
Je veux les indicateurs de LVMH sur 1 an,stats
Affiche les statistiques de LVMH sur 1 an,stats
Peux-tu me dire le Sharpe ratio de AAPL ?,stats
Donne-moi le Sharpe de AAPL,stats
Je veux la volatilité de AAPL sur 1 an,stats
Peux-tu me dire le Sharpe ratio de GOOGL ?,stats
Donne-moi le Sharpe de GOOGL,stats
Je veux la volatilité de GOOGL sur 1 an,stats
Peux-tu me dire le Sharpe ratio de MSFT ?,stats
Donne-moi le Sharpe de MSFT,stats
Je veux la volatilité de MSFT sur 1 an,stats
Peux-tu me dire le Sharpe ratio de NVDA ?,stats
Donne-moi le Sharpe de NVDA,stats
Je veux la volatilité de NVDA sur 1 an,stats
Peux-tu me dire le Sharpe ratio de TSLA ?,stats
Donne-moi le Sharpe de TSLA,stats
Je veux la volatilité de TSLA sur 1 an,stats
Peux-tu me dire le Sharpe ratio de ASML ?,stats
Donne-moi le Sharpe de ASML,stats
Je veux la volatilité de ASML sur 1 an,stats
Peux-tu me dire le Sharpe ratio de RMS.PA ?,stats
Donne-moi le Sharpe de RMS.PA,stats
Je veux la volatilité de RMS.PA sur 1 an,stats
Peux-tu me dire le Sharpe ratio de MC.PA ?,stats
Donne-moi le Sharpe de MC.PA,stats
Je veux la volatilité de MC.PA sur 1 an,stats
Peux-tu me dire le Sharpe ratio de Apple ?,stats
Donne-moi le Sharpe de Apple,stats
Je veux la volatilité de Apple sur 1 an,stats
Peux-tu me dire le Sharpe ratio de Microsoft ?,stats
Donne-moi le Sharpe de Microsoft,stats
Je veux la volatilité de Microsoft sur 1 an,stats
Compare Apple et Microsoft sur 6 mois,compare
"Entre Apple et Microsoft, lequel performe le mieux sur 6 mois ?",compare
"Entre Apple et Microsoft, lequel performe le mieux sur 1 an ?",compare
Compare Apple et Microsoft sur 3 ans,compare
"Entre Apple et Microsoft, lequel performe le mieux sur 3 ans ?",compare
Compare Tesla et Nvidia sur 6 mois,compare
"Entre Tesla et Nvidia, lequel performe le mieux sur 6 mois ?",compare
"Entre Tesla et Nvidia, lequel performe le mieux sur 1 an ?",compare
Compare Tesla et Nvidia sur 3 ans,compare
"Entre Tesla et Nvidia, lequel performe le mieux sur 3 ans ?",compare
Compare Hermès et LVMH sur 6 mois,compare
"Entre Hermès et LVMH, lequel performe le mieux sur 6 mois ?",compare
Compare Hermès et LVMH sur 1 an,compare
"Entre Hermès et LVMH, lequel performe le mieux sur 1 an ?",compare
Compare Hermès et LVMH sur 3 ans,compare
"Entre Hermès et LVMH, lequel performe le mieux sur 3 ans ?",compare
Compare ASML et SAP sur 6 mois,compare
"Entre ASML et SAP, lequel performe le mieux sur 6 mois ?",compare
"Entre ASML et SAP, lequel performe le mieux sur 1 an ?",compare
Compare ASML et SAP sur 3 ans,compare
"Entre ASML et SAP, lequel performe le mieux sur 3 ans ?",compare
Compare AAPL et MSFT sur 6 mois,compare
"Entre AAPL et MSFT, lequel performe le mieux sur 6 mois ?",compare
Compare AAPL et MSFT sur 1 an,compare
"Entre AAPL et MSFT, lequel performe le mieux sur 1 an ?",compare
Compare AAPL et MSFT sur 3 ans,compare
"Entre AAPL et MSFT, lequel performe le mieux sur 3 ans ?",compare
Compare GOOGL et MSFT sur 6 mois,compare
"Entre GOOGL et MSFT, lequel performe le mieux sur 6 mois ?",compare
Compare GOOGL et MSFT sur 1 an,compare
"Entre GOOGL et MSFT, lequel performe le mieux sur 1 an ?",compare
Compare GOOGL et MSFT sur 3 ans,compare
"Entre GOOGL et MSFT, lequel performe le mieux sur 3 ans ?",compare
Compare RMS.PA et MC.PA sur 6 mois,compare
"Entre RMS.PA et MC.PA, lequel performe le mieux sur 6 mois ?",compare
Compare RMS.PA et MC.PA sur 1 an,compare
"Entre RMS.PA et MC.PA, lequel performe le mieux sur 1 an ?",compare
Compare RMS.PA et MC.PA sur 3 ans,compare
"Entre RMS.PA et MC.PA, lequel performe le mieux sur 3 ans ?",compare
Compare Air Liquide et TotalEnergies sur 6 mois,compare
"Entre Air Liquide et TotalEnergies, lequel performe le mieux sur 6 mois ?",compare
Compare Air Liquide et TotalEnergies sur 1 an,compare
"Entre Air Liquide et TotalEnergies, lequel performe le mieux sur 1 an ?",compare
Compare Air Liquide et TotalEnergies sur 3 ans,compare
"Entre Air Liquide et TotalEnergies, lequel performe le mieux sur 3 ans ?",compare
Compare BNP Paribas et Société Générale sur 6 mois,compare
"Entre BNP Paribas et Société Générale, lequel performe le mieux sur 6 mois ?",compare
Compare BNP Paribas et Société Générale sur 1 an,compare
"Entre BNP Paribas et Société Générale, lequel performe le mieux sur 1 an ?",compare
Compare BNP Paribas et Société Générale sur 3 ans,compare
"Entre BNP Paribas et Société Générale, lequel performe le mieux sur 3 ans ?",compare
"Entre Amazon et Google, lequel performe le mieux sur 6 mois ?",compare
Compare Amazon et Google sur 1 an,compare
"Entre Amazon et Google, lequel performe le mieux sur 1 an ?",compare
Compare Amazon et Google sur 3 ans,compare
"Entre Amazon et Google, lequel performe le mieux sur 3 ans ?",compare
Montre-moi des actions américaines à faible volatilité,screener
Montre-moi des actions de santé avec dividendes,screener
Montre-moi des actions avec rendement et faible volatilité,screener
Je veux des ETF US avec bon rating et faible risque,screener
